id_code,gender,gc_score,syn_graph_col,syn_seq_space,scsq_imagery,scsq_techspace,scsq_language,scsq_organise,scsq_global,scsq_system
267,0,NA,No,No,3.65,2.94,4.17,2,2.75,3.17
268,0,NA,No,No,3.53,2.35,3,3.33,3,2.17
269,0,NA,No,No,3.94,1.88,3.83,1.83,2.88,3
270,0,NA,No,No,2.94,3.06,4.83,3,3.63,2.83
271,0,NA,No,No,3.82,2.65,3,3.83,2,3.83
272,0,NA,No,No,4.53,1.53,3.83,2.5,3.63,2.67
273,0,NA,No,No,2.82,2.76,4.33,2,3.25,3.17
274,0,NA,No,No,3.88,2.59,3.17,3.17,3.63,2
275,0,NA,No,No,3.65,2.47,4.67,2.67,2,2.17
276,0,NA,No,No,3.41,2.24,3.33,2.83,2.75,1.67
277,0,NA,No,No,3.35,3.06,3.5,3.83,3,3
278,0,NA,No,No,4.29,3.12,4.17,3.17,2.75,2.17
279,0,NA,No,No,3.94,2.18,3.67,2.67,2.5,2
280,0,NA,No,No,3.71,2.47,3.5,3.83,2.38,1.67
281,0,NA,No,No,4.29,3.29,4.83,2.33,1.5,2
282,0,NA,No,No,4.35,2.47,4.67,4.33,2.75,3
283,0,NA,No,No,3.59,3.06,4.17,3.83,3.25,3.67
284,0,NA,No,No,3.88,2.76,3.83,2.17,2.75,2.83
285,0,NA,No,No,3.71,2.59,4,3.5,3.13,2.5
286,0,NA,No,No,3.18,2.59,4,2.83,3.25,2.67
287,0,NA,No,No,4.24,2.82,3.83,3,3,2.67
288,0,NA,No,No,3.76,3,3.5,3.83,2.13,3
289,0,NA,No,No,2.59,2.53,3,2.5,3.75,3
290,0,NA,No,No,3.76,2.94,3.33,3.5,3,2.17
291,0,NA,No,No,3.88,3.12,2.83,1.83,2.75,2.17
292,0,NA,No,No,3.94,3.41,4.33,4.5,2.25,3.5
293,0,NA,No,No,3.76,3.24,2.5,2.67,3.75,2
294,0,NA,No,No,3.29,2,4.83,3.83,2.25,3
295,0,NA,No,No,3.65,2.18,3,3,3.38,2
296,0,NA,No,No,3.29,1.65,4.17,2.5,2.25,1.83
297,0,NA,No,No,3.29,3.41,4,2.67,3.13,3.17
298,0,NA,No,No,4.88,3.82,5,4.33,3,2.67
299,0,NA,No,No,3.59,2.06,4,3.33,3.5,1.83
300,0,NA,No,No,3.94,2.41,4,2.5,2.63,2
301,0,NA,No,No,4.18,3,4.67,2.83,2.63,2.5
302,0,NA,No,No,3.76,2.47,3.67,3.33,3.38,2.83
303,0,NA,No,No,3.59,2.06,4.83,4,2.5,2.67
304,0,NA,No,No,3.65,2.53,3.33,3.5,3,2.67
305,0,NA,No,No,3.94,3.71,4.17,3.5,2.88,1.83
306,0,NA,No,No,3.59,2.24,2.83,3.17,2.88,2.17
307,0,NA,No,No,3.71,2.41,4,2.5,2.38,2.67
