recordeddate,id,gender,age,height,weight,instagram,condition,choice_perc,panas1,panas2,panas3,panas4,panas5,panas6,panas7,panas8,panas9,panas10,panas11,panas12,panas13,panas14,panas15,panas16,panas17,panas18,panas19,panas20,bss1,bss2,bss3,bss4,bss5,bss6,bss7,bss8,bss9,bss10,bss11,bss12,bss13,bss14,bss15,bss16,bss17,bas1,bas2,bas3,bas4,bas5,bas6,bas7,bas8,bas9,bas10,sac1,sac2,sac3,sac4,pacsr1,pacsr2,pacsr3,pacsr4
2017-12-09T10:34:51Z,ZZS6411,Female,18-29,1.6,69.85,Yes,Control,0,1,1,2,1,1,1,1,1,3,1,2,2,1,3,3,2,2,1,3,1,1,5,6,4,6,6,3,6,6,2,6,6,1,2,7,2,7,2,2,3,2,1,1,3,1,2,3,1,1,1,1,9,9,9,9
2017-12-09T11:04:44Z,PHL2739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-09T11:18:31Z,QZF5604,Female,18-29,1.54,63.5,Yes,BPlarger,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,4,4,2,6,6,6,6,4,1,2,6,6,6,3,3,3,2,3,2,3,2,2,2,2,3,1,1,6,6,7,7
2017-12-09T11:46:01Z,WPV6592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-09T11:52:51Z,NNE4235,Female,18-29,1.62,54,Yes,Control,0,4,1,2,1,3,2,1,1,4,5,1,1,1,4,1,1,2,3,1,1,3,6,6,6,2,7,7,6,3,6,6,4,3,5,2,3,2,3,3,4,2,3,3,1,3,3,3,3,3,5,5,10,10,10,9
2017-12-09T12:36:45Z,HUT2755,Female,18-29,1.72,59.42,Yes,BPaverage,66.6666667,3,1,2,1,1,1,1,1,4,5,1,3,1,3,1,3,3,1,3,1,3,6,7,2,1,5,2,6,7,5,6,6,6,3,1,1,2,4,4,4,4,4,4,4,2,3,4,1,1,5,1,8,7,9,7
2017-12-09T14:21:00Z,USR3456,Female,18-29,1.59,62,Yes,Control,50,2,1,1,1,4,1,1,1,2,2,1,4,1,2,1,1,4,1,1,1,6,7,6,7,6,7,7,7,7,7,7,6,7,7,7,7,6,4,4,5,4,5,4,4,3,3,3,1,1,1,1,9,7,7,7
2017-12-09T14:48:10Z,SFF7332,Female,50+,1.62,71,Yes,BPlarger,80,4,1,1,2,1,2,2,1,1,1,2,1,2,1,2,3,3,2,1,1,2,2,4,4,3,4,4,6,7,3,3,3,3,3,3,2,4,4,3,3,3,3,3,4,3,3,3,4,4,3,3,8,7,8,7
2017-12-09T16:27:40Z,KWT8691,Female,18-29,1.68,55,Yes,Control,25,2,1,1,1,3,1,1,1,1,1,1,2,1,3,2,2,2,1,2,1,5,3,3,3,2,2,2,4,5,4,4,3,3,5,5,5,3,4,4,3,4,3,3,2,3,4,2,1,NA,NA,NA,6,7,7,7
2017-12-09T18:38:38Z,KWA3860,Female,18-29,1.72,68,Yes,BPlarger,0,3,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,2,1,1,1,6,7,7,3,2,3,6,6,7,7,6,6,6,7,5,6,3,5,3,4,4,4,4,4,3,4,5,1,1,1,1,7,6,6,6
2017-12-09T21:20:15Z,AVY2286,Female,18-29,1.77,70,Yes,BPaverage,0,2,1,1,1,1,1,1,2,1,1,3,2,1,1,2,1,1,3,1,1,3,4,5,5,5,4,6,5,6,4,4,6,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,2,3,2,2,7,7,7,7
2017-12-10T00:43:08Z,ZUG9075,Female,18-29,1.88,64,Yes,Control,100,3,2,2,4,2,5,4,2,3,4,4,4,4,1,3,3,3,3,3,1,1,3,2,3,2,2,2,4,7,2,1,3,1,1,2,7,5,1,1,1,1,1,1,1,1,1,1,2,2,2,2,10,10,10,10
2017-12-10T01:50:08Z,DPO0507,Female,18-29,1.65,49.89,No,BPaverage,33.3333333,2,1,2,1,2,1,1,1,3,3,1,2,1,2,2,2,3,1,3,1,6,6,6,6,5,7,4,7,7,5,3,4,6,3,3,7,6,5,4,5,5,5,5,4,4,4,4,2,2,3,1,7,7,7,8
2017-12-10T02:06:28Z,KWR8200,Female,18-29,1.62,73.93,Yes,Control,100,2,1,2,2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,5,6,6,6,2,6,6,5,5,4,2,1,3,5,5,3,5,2,4,2,4,2,3,3,2,2,1,1,1,1,9,9,9,9
2017-12-10T02:48:07Z,KTG0216,Female,18-29,1.6,45,No,BPlarger,66.6666667,4,2,3,1,2,1,1,1,3,3,2,4,1,4,4,4,3,3,3,2,4,5,5,5,5,5,6,6,6,4,4,4,4,5,5,5,6,4,3,3,3,3,3,4,3,4,3,4,3,1,1,7,6,6,7
2017-12-10T03:10:21Z,WEG9946,Female,18-29,1.72,68,Yes,Control,66.6666667,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,3,4,4,3,4,4,5,4,4,5,2,3,4,5,4,4,2,3,3,3,2,3,4,2,2,1,NA,NA,NA,7,8,9,7
2017-12-10T04:40:21Z,ZHP6775,Female,NA,1.72,69.85,No,BPlarger,40,3,1,3,1,3,2,1,1,4,2,1,2,1,1,2,2,2,1,2,1,2,5,5,2,5,5,5,4,6,6,6,2,2,2,6,4,5,3,3,4,2,4,3,2,2,3,2,2,4,4,4,8,8,8,8
2017-12-10T07:35:32Z,GOW8559,Female,18-29,1.65,57.1,Yes,BPlarger,50,2,1,1,1,3,4,2,1,3,4,2,2,3,3,1,2,1,1,1,1,5,4,6,5,6,4,5,5,7,4,4,5,2,3,5,3,4,4,3,4,2,2,3,2,3,4,4,5,5,4,4,9,8,7,7
2017-12-10T09:57:29Z,MRS6868,Female,18-29,1.62,72.12,Yes,Control,25,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,5,5,5,5,5,6,5,6,5,5,5,2,3,5,5,5,3,3,3,3,3,3,3,3,3,2,NA,NA,NA,NA,9,9,10,9
2017-12-10T10:48:53Z,WLN2366,Female,18-29,1.72,76.2,Yes,BPaverage,33.3333333,3,1,3,1,4,1,1,1,3,5,1,1,1,5,1,4,2,1,3,1,1,4,4,2,2,2,3,6,6,2,2,5,1,2,2,3,2,2,1,2,1,2,2,2,2,1,2,4,2,4,4,10,10,10,10
2017-12-10T10:56:14Z,DSC1164,Female,18-29,1.75,59.42,Yes,BPlarger,20,3,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,5,5,5,5,5,5,5,5,6,6,6,6,3,3,3,3,4,4,3,5,4,4,4,4,3,4,4,5,5,5,5,9,9,9,9
2017-12-11T02:41:14Z,LRE2820,Female,18-29,1.71,82.55,Yes,BPlarger,66.6666667,2,1,2,2,4,1,1,1,3,3,1,3,2,3,1,5,3,1,5,1,2,3,5,3,2,5,5,5,6,6,2,2,2,2,5,3,5,2,3,4,3,2,2,3,3,3,3,4,4,4,4,8,8,9,8
