id,distribution,consent,gender,age,mcq,stars_test_score,stars_int_score,stars_help_score,stars_m_test_score,stars_m_int_score,stars_m_help_score,rmars_test_score,rmars_num_score,rmars_course_score,rmars_s_test_score,rmars_s_num_score,rmars_s_course_score,sticsa_trait_score,sticsa_pre_state_score,sticsa_post_state_score,mcq_score
wG2TR,anonymous,Yes,female,19,maths,4,2.5454545454545454,3,2.875,2.25,2.75,3.2,1,2.8,4.1,1.2,2.4,2.2857142857142856,1.9047619047619047,1.7619047619047619,3
GIdfy,anonymous,Yes,other/pnts,20,stats,2.625,1.9090909090909092,1.75,1.75,1.375,1,1.8,1.8,1.6,1.6,1.2,1.6,3.1904761904761907,3.6666666666666665,2.8095238095238093,3
7cNhh,anonymous,Yes,female,19,maths,3.25,2.090909090909091,2,2.625,1.375,1.75,2.5,1.8,2.2,3.4,1.8,2.6,1.2857142857142858,1.0952380952380953,1.1428571428571428,2
0Sbvm,anonymous,NA,female,19,maths,3.125,2.6363636363636362,2.75,2.75,2.375,2.5,2.9,1.4,2.2,2.7,2.8,3.4,2.3333333333333335,2.4761904761904763,2.9047619047619047,2
XTNNv,anonymous,Yes,female,19,stats,3.875,2.272727272727273,3,2.75,1.25,3,3.5,1,1.4,4.1,1.6,1.6,2.9523809523809526,2.5714285714285716,2.4761904761904763,3
gys2m,anonymous,Yes,female,19,maths,3.25,1.9090909090909092,2.5,4.25,2.25,3.5,4.6,1.4,2,4.1,1,1.2,2.0952380952380953,1.2380952380952381,1.1428571428571428,0
nSNLc,anonymous,Yes,female,17,stats,2.75,1.5454545454545454,1.75,3.125,1.625,1.75,3,2.2,1.6,2.9,1,1.6,1.619047619047619,1.5238095238095237,1.1904761904761905,NA
OGIx2,anonymous,Yes,female,22,stats,1.875,1.4545454545454546,1,2.375,1.875,1,2.3,1,1.4,2.1,1.2,1.2,1.1904761904761905,1,1.0952380952380953,3
gEk8c,anonymous,Yes,female,20,maths,4.75,2.6363636363636362,5,4.5,2.75,5,4.4,1.2,2.8,4.6,4.2,2.6,2.9047619047619047,2.5238095238095237,2.0476190476190474,5
IJpxI,anonymous,Yes,male,20,stats,3.125,3,4.5,2,2.5,4,2.7,1.8,1.6,3,4.2,1.6,1.2380952380952381,1.1428571428571428,1.3333333333333333,1
8gZ4N,anonymous,Yes,male,20,maths,3.125,2.4545454545454546,3,2.75,2.375,3,3.1,2,2.8,3.2,2.8,2.8,2.380952380952381,2.5238095238095237,2.5238095238095237,4
t78FX,anonymous,Yes,female,19,stats,3.5,2.1818181818181817,2,2.75,1.375,1.25,3.5,1.8,1.5,4.5,1.8,1.8,1.1428571428571428,1,1,5
D4Ouu,anonymous,Yes,female,32,maths,1.75,1.2727272727272727,1.25,1.75,1.375,1,1.9,1,1,2,1.6,1.2,1.5714285714285714,1.1428571428571428,1,NA
O5JsZ,anonymous,Yes,male,19,stats,2.125,2.1818181818181817,1.75,3,2.5,2.25,3.7,2.2,1.8,2.5,1.6,1.2,1.5714285714285714,1.1428571428571428,1.3333333333333333,2
Xhe8o,anonymous,Yes,female,19,stats,3.25,2.272727272727273,3.5,2.875,2.5,3.25,2.9,1.2,2,3.4,2.8,2,1.9047619047619047,1.9047619047619047,1.75,3
QDtKQ,anonymous,Yes,female,18,maths,1.375,1.1818181818181819,1,1.25,1.125,1.25,1.5,1,1,1.2,1,1,1.4285714285714286,1.3333333333333333,1,NA
WkVff,anonymous,Yes,male,20,stats,2.5,3.1818181818181817,3.25,4,3.5,4.5,3.9,1.8,2.6,2.9,2.8,2.4,1.9047619047619047,1.9523809523809523,1.619047619047619,2
WZeXp,anonymous,Yes,female,19,maths,2.375,1.4545454545454546,2,2.375,1.75,2.25,2.7,1.6,1.4,2.5,2.4,1.2,3.4761904761904763,2.5238095238095237,2.238095238095238,2
aeqF8,anonymous,Yes,female,20,maths,2.75,2.4545454545454546,2.75,2.625,2.125,2.5,2.9,1.6,1.6,3.2,2.4,2.6,2.6666666666666665,2.142857142857143,2.0952380952380953,5
Vgbl2,anonymous,Yes,female,19,stats,2.375,2.090909090909091,2.75,2.875,2,2.75,4,2.6,2.2,2.8,3,1.8,1.7142857142857142,1.0476190476190477,1.0952380952380953,3
3i2E1,anonymous,Yes,female,19,stats,4.125,2.272727272727273,1.5,4.125,2.125,2.75,4.7,1.2,2.4,4.2,2.4,2.8,2.142857142857143,1.5238095238095237,1.619047619047619,4
N0jIl,anonymous,Yes,female,17,maths,3.125,2.4545454545454546,2,2.75,2,1.75,3.2,1,2,3.5,3.4,1.6,1.4285714285714286,1,1.2857142857142858,2
0C3da,anonymous,Yes,female,20,stats,3.5,2.1818181818181817,3.25,3.125,2,3.25,3.2,1.4,2,3.9,1.6,2.2,2.0476190476190474,1.3333333333333333,1.3333333333333333,3
VZ8g2,anonymous,Yes,other/pnts,20,maths,2.125,2.090909090909091,1.5,2,2.125,1.5,2.7,2,1.6,2.5,1.8,1.8,1.1904761904761905,1.0952380952380953,1.2380952380952381,NA
QQVJe,anonymous,Yes,female,18,maths,4.5,4,3.25,4.125,3.875,3.5,4.9,3.4,3.8,4.8,3.8,3.6,2.619047619047619,1.4285714285714286,1.4761904761904763,NA
wUMuo,anonymous,Yes,male,19,stats,4.5,4.090909090909091,4,4.714285714285714,4,4,4.6,3.4,3.4,4.6,3.4,3.6,2.8095238095238093,1.7142857142857142,2.857142857142857,2
oRz5N,anonymous,Yes,female,18,stats,3.125,2.9,2.25,4.125,2.125,2.75,3.8,3.2,2,3.2,2.4,1.2,2.3333333333333335,1.0952380952380953,1.4285714285714286,4
Jb4Zj,anonymous,Yes,other/pnts,18,maths,3.875,2.3636363636363638,2.5,3.375,2.25,1,2.5,1,1.8,4,2.2,3,1.7142857142857142,1.4761904761904763,1.3333333333333333,NA
hwSwZ,anonymous,Yes,female,19,stats,3.375,3.6363636363636362,4.25,2.5,2.375,3,1.9,1.2,1.6,4,2,3.2,1.380952380952381,1,1,3
EjpDL,anonymous,Yes,female,18,maths,4.5,2.909090909090909,1,3.625,3,1,3.1,1.4,1.6,4.8,3.8,2.6,1.8095238095238095,1.380952380952381,1.2857142857142858,3
2Rauy,anonymous,Yes,female,21,stats,3.5,2.1818181818181817,2,3.5,1.875,2.25,3.7,1.8,2,3.7,2,2.2,1.7142857142857142,1.3333333333333333,2.1904761904761907,NA
rcnu3,anonymous,Yes,other/pnts,20,maths,4.125,2.4545454545454546,1,3.125,2.875,1,4,2,1,3.8,2.4,2.2,1.8095238095238095,1.380952380952381,1.0952380952380953,2
pnZuQ,anonymous,Yes,female,19,maths,3,2.090909090909091,1.75,2.625,2.125,1.75,2.3,1,1.2,3.4,1,1.6,1.9523809523809523,1.9047619047619047,1.6666666666666667,NA
xqMbq,anonymous,Yes,male,20,stats,2.75,1.4545454545454546,2.25,2.75,1.625,2.75,2.9,1,1.2,2.7,2.4,1.6,2,2.142857142857143,1.0952380952380953,3
2jBId,anonymous,No,female,18,stats,4.125,2.272727272727273,3.25,4.25,2.375,3,4.1,2.4,2.8,4,4.2,3.2,2,2.0476190476190474,2.142857142857143,2
hvnBr,anonymous,No,female,20,maths,2.625,1.2727272727272727,2,2.625,1.25,2.25,3.2,1.8,1.2,3.6,1,1,1.1428571428571428,1.1428571428571428,1.2380952380952381,NA
UUvvR,anonymous,Yes,female,18,maths,1.875,2.272727272727273,3.75,1.75,2.125,3.75,2.6,1,1.2,2.1,2.6,1.8,1.6666666666666667,1.6666666666666667,1.4285714285714286,4
lyC9q,anonymous,Yes,male,18,stats,2.875,2.090909090909091,3.5,2.5,2.125,3,2.4,2.2,1.8,3.9,3.6,2.2,2.0476190476190474,1.7142857142857142,1.7619047619047619,4
